class	supervoxel_id	root_id	group	side	type	Namiki_name	synonyms	comment	long_tract	soma_location	soma_division	neuropil	neuropilgroup	cluster	confidence_LM_1_5	x	y	z
DN	80436766397609357	720575940628869648	720575940614014895	L	DNge077					g	brain	GNG_PRW	PRW_FLA	1		126930	82325	5798
DN	77762410521626491	720575940614014895	720575940614014895	R	DNge077					g	brain	GNG_PRW	PRW_FLA	1		137414	84788	5798
DN	78959297648204565	720575940636308075	720575940629806974	L	DNge078		aDN2			g	brain	GNG	GNG	10		136396	82387	5798
DN	79521766632443415	720575940629806974	720575940629806974	L	DNge078		aDN2			g	brain	GNG	GNG	10		127905	81547	5798
DN	79874091523957296	720575940632296519	720575940629477675	L	DNge079					g	brain	GNG	GNG	12		137750	82947	5798
DN	79310729320355892	720575940629477675	720575940629477675	R	DNge079					g	brain	GNG	GNG	12		127331	81662	5798
DN	80999853857629657	720575940609407939	720575940609407939	L	DNge080					g	brain	GNG	GNG	11		126919	82008	5798
DN	77832710613225142	720575940627847752	720575940609407939	R	DNge080					g	brain	GNG	GNG	11		137892	84124	5798
DN	81562528865433270	720575940618594117	720575940613686954	L	DNge081					g	brain	GNG	GNG	12		136613	83620	5798
DN	77973516754164614	720575940613686954	720575940613686954	R	DNge081					g	brain	GNG	GNG	12		127206	82397	5798
DN	81703266421109398	720575940628669545	720575940626092302	L	DNge082					g	brain	GNG	GNG	12		127786	82104	5798
DN	78536673000561530	720575940626092302	720575940626092302	R	DNge082					g	brain	GNG	GNG	12		136811	83136	5798
DN	81492228840893319	720575940619038366	720575940619038366	L	DNge083					g	brain	multi	multi	15		136983	83909	5798
DN	77692041844338265	720575940625182341	720575940619038366	R	DNge083					g	brain	multi	multi	15		127440	82900	5799
DN	80577160490240630	720575940638088511	720575940624651189	L	DNge084					g	brain	multi	multi	14		128792	74774	5798
DN	78959091690727705	720575940624651189	720575940624651189	R	DNge084					g	brain	multi	multi	14		134042	77745	5798
DN	80506929185060550	720575940628487153	720575940610440402	L	DNge085					g	brain	GNG	GNG	6		128691	77521	5798
DN	80506860465600046	720575940625343761	720575940610440402	L	DNge085					g	brain	GNG	GNG	6		129496	78579	5798
DN	80506860465592338	720575940610440402	720575940610440402	L	DNge085					g	brain	GNG	GNG	6		129165	77996	5798
DN	80506860465595071	720575940623968612	720575940610440402	L	DNge085					g	brain	GNG	GNG	6		128984	76687	5798
DN	80506860465594961	720575940616548416	720575940610440402	L	DNge085					g	brain	GNG	GNG	6		129138	76784	5798
DN	80506929185064192	720575940622806247	720575940610440402	L	DNge085					g	brain	GNG	GNG	6		128798	75209	5798
DN	78959091690723557	720575940615385798	720575940610440402	R	DNge085					g	brain	GNG	GNG	6		134326	78478	5798
DN	78959091690703314	720575940616786433	720575940610440402	R	DNge085					g	brain	GNG	GNG	6		135121	79891	5798
DN	78959160410189398	720575940639802685	720575940610440402	R	DNge085					g	brain	GNG	GNG	6		134985	76930	5798
DN	78959091690722087	720575940622786317	720575940610440402	R	DNge085					g	brain	GNG	GNG	6		134858	76875	5798
DN	78959091690710578	720575940619905916	720575940610440402	R	DNge085					g	brain	GNG	GNG	6		134585	78861	5798
DN	80155291689471638	720575940617249254	720575940617249254	L	DNge086					g	brain	GNG_IPS	PS_LAL	6		128300	74684	5798
DN	78888035818751014	720575940646443316	720575940617249254	R	DNge086					g	brain	GNG_IPS	PS_LAL	6		139280	78157	5798
DN	79944529054071361	720575940624154604	720575940605450342	L	DNge087					g	brain	GNG	GNG	15		128868	76076	5798
DN	81562666438818021	720575940626068569	720575940605450342	L	DNge087					g	brain	GNG	GNG	15		129063	76292	5798
DN	78959091690698880	720575940630382075	720575940605450342	R	DNge087					g	brain	GNG	GNG	15		136082	76364	5798
DN	78959091690727409	720575940605450342	720575940605450342	R	DNge087					g	brain	GNG	GNG	15		135254	76544	5798
DN	80225935043090949	720575940612629210	720575940612629210	L	DNge088					g	brain	IPS_SPS	PS_LAL	6		128271	77303	5284
DN	78817460782336731	720575940620231590	720575940612629210	R	DNge088					g	brain	IPS_SPS	PS_LAL	6		134620	77275	5798
DN	80929485113492399	720575940606784265	720575940606784265	L	DNge089					g	brain	GNG_IPS	PS_LAL	14		128504	78280	5123
DN	80929485113485131	720575940610935410	720575940606784265	L	DNge089					g	brain	GNG_IPS	PS_LAL	14		128457	78583	5133
DN	80929485113499869	720575940626580794	720575940606784265	L	DNge089					g	brain	GNG_IPS	PS_LAL	14		129834	79951	5798
DN	80859116369288787	720575940620915224	720575940606784265	L	DNge089					g	brain	GNG_IPS	PS_LAL	14		130097	79632	5798
DN	77340060684792564	720575940627307625	720575940606784265	R	DNge089					g	brain	GNG_IPS	PS_LAL	14		134586	80051	5798
DN	78396141670148048	720575940626748702	720575940606784265	R	DNge089					g	brain	GNG_IPS	PS_LAL	14		135113	80561	5798
DN	78396141670123536	720575940626238716	720575940606784265	R	DNge089					g	brain	GNG_IPS	PS_LAL	14		135388	80451	5798
DN	78396141670133934	720575940610341582	720575940606784265	R	DNge089					g	brain	GNG_IPS	PS_LAL	14		134473	79715	5798
DN	80929485113496295	720575940615424966	720575940614682274	L	DNge090					g	brain	GNG_SAD	GNG	14		128917	78271	5188
DN	80929485113497177	720575940614682274	720575940614682274	L	DNge090					g	brain	GNG_SAD	GNG	14		128902	78222	5164
DN	78396141670129566	720575940625047815	720575940614682274	R	DNge090					g	brain	GNG_SAD	GNG	14		134705	80184	5798
